id,question,answer,intent,category,notes
1,Що таке інклюзія?,Інклюзія - це принцип залучення всіх людей до суспільного життя незалежно від їхніх особливостей,inclusion_definition,соціальна політика;права людини;освіта,
2,Що таке інклюзивне навчання?,"Інклюзивне навчання – це підхід до освіти, де всі учні, незалежно від їхніх фізичних, розумових, соціальних, мовних чи емоційних особливостей, навчаються разом у закладах загальної середньої освіти. Основною ідеєю інклюзії є створення такого освітнього середовища, в якому кожна дитина буде почуватися підтриманою, прийнятою та матиме рівні можливості для розвитку.",inclusion_definition,соціальна політика;права людини;освіта,
3,Поясни термін інклюзія,Інклюзія - це принцип залучення всіх людей до суспільного життя незалежно від їхніх особливостей,inclusion_definition,соціальна політика;права людини;освіта,
4,Надай визначення що таке інклюзія,Інклюзія - це принцип залучення всіх людей до суспільного життя незалежно від їхніх особливостей,inclusion_definition,соціальна політика;права людини;освіта,
5,Що означає інклюзія?,Інклюзія - це принцип залучення всіх людей до суспільного життя незалежно від їхніх особливостей,inclusion_definition,соціальна політика;права людини;освіта,
6,Поясни інклюзію,Інклюзія - це принцип залучення всіх людей до суспільного життя незалежно від їхніх особливостей,inclusion_definition,соціальна політика;права людини;освіта,
7,Що мають на увазі під інклюзією?,"Під інклюзією розуміють принцип залучення всіх людей до суспільного життя незалежно від їхніх особливостей, досвіду, статті, національності тощо",inclusion_definition,соціальна політика;права людини;освіта,
8,Що таке безбар'єрність?,"Це загальний підхід до формування та реалізації державної політики, спрямований на забезпечення безперешкодного доступу всіх соціальних  груп, зокрема осіб з інвалідністю, до різних сфер життя – освіти, праці, охорони здоров’я, інфраструктури, правосуддя, участі в суспільному житті тощо. ",barrier_free_definition,соціальна політика;урбаністика;права людини,
9,Поясни термін безбар'єрність,"Це загальний підхід до формування та реалізації державної політики, спрямований на забезпечення безперешкодного доступу всіх соціальних  груп, зокрема осіб з інвалідністю, до різних сфер життя – освіти, праці, охорони здоров’я, інфраструктури, правосуддя, участі в суспільному житті тощо. ",barrier_free_definition,соціальна політика;урбаністика;права людини,
10,Яка існує безбар'єрність,"Існують такі види безбар’єрності:

Фізична — простір, де зручно всім: людині на кріслі колісному, дитині чи тимчасово травмованому.

Інформаційна — зрозумілі тексти й повідомлення: великий шрифт, прості речення, чіткі інструкції.

Цифрова — доступні й стабільні онлайн‑послуги будь-де й на будь‑якому пристрої.

Суспільна — можливість брати участь у житті громади: голосувати, висловлюватися, волонтерити, ініціювати зміни.

Освітня — навчання у різних форматах і темпі, врахування потреб дітей, доступність інфраструктури.

Економічна — рівні можливості працювати, навчатися, змінювати професію чи відкривати власну справу для всіх.",barrier_free_definition,соціальна політика;урбаністика;права людини,
11,Які існують види безбар'єрності?,"Існують такі види безбар’єрності:

Фізична — простір, де зручно всім: людині на кріслі колісному, дитині чи тимчасово травмованому.

Інформаційна — зрозумілі тексти й повідомлення: великий шрифт, прості речення, чіткі інструкції.

Цифрова — доступні й стабільні онлайн‑послуги будь-де й на будь‑якому пристрої.

Суспільна — можливість брати участь у житті громади: голосувати, висловлюватися, волонтерити, ініціювати зміни.

Освітня — навчання у різних форматах і темпі, врахування потреб дітей, доступність інфраструктури.

Економічна — рівні можливості працювати, навчатися, змінювати професію чи відкривати власну справу для всіх.",barrier_free_definition,соціальна політика;урбаністика;інклюзія,
12,Що означає безбар'єрність?,"Безбар’єрність – суспільна норма, в рамках якої кожну людину приймають,поважають і цінують незалежно від походження, статі, віку, фізичних особливостей,трудової зайнятості, інших особливостей та індивідуальних ознак, а при прийнятті рішень влада, бізнес, громада враховує інтереси всіх суспільних груп, в тому числі малочисельних.",barrier_free_definition,соціальна політика;урбаністика;права людини,
13,Що мають на увазі під безбар'єрністю?,"Безбар’єрність – суспільна норма, в рамках якої кожну людину приймають,поважають і цінують незалежно від походження, статі, віку, фізичних особливостей,трудової зайнятості, інших особливостей та індивідуальних ознак, а при прийнятті рішень влада, бізнес, громада враховує інтереси всіх суспільних груп, в тому числі малочисельних.",barrier_free_definition,соціальна політика;урбаністика;права людини,
14,Що таке гендер?,"Це соціально закріплені ролі, поведінка, діяльність і характерні ознаки, які певне суспільство вважає належними для жінок та чоловіків.
Розуміння гендеру як багатовимірного і змінного поняття є основним критерієм для забезпечення рівності, недискримінації та інклюзивного підходу в усіх сферах суспільного життя.",gender_definition,соціологія;гендерні студії;права людини,"Ґендер визначає, що саме очікується, допускається і цінується у жінок та чоловіків у певному соціальному та культурному контексті. У більшості суспільств існують відмінності та нерівності між жінками та чоловіками у покладених на них обовʼязках, здійснюваній ними діяльності, доступі до ресурсів та контролі над ними, а також у можливостях прийняття рішень. Ґендер є частиною ширшого соціокультурного контексту. Інші важливі критерії соціокультурного аналізу включають клас, расу, рівень бідності, етнічну групу та вік."
15,Поясни значення гендеру,"Гендер - це соціальні характеристики та можливості, пов’язані з буттям жінкою або чоловіком, зі стосунками між жінками та чоловіками, дівчатами та хлопцями, а також із відносинами поміж жінками та відносинами поміж чоловіками.",gender_definition,соціологія;гендерні студії;права людини,"Ці характеристики, можливості та відносини будуються соціально та засвоюються через процеси соціалізації. Вони контекстно- та часозалежні та є мінливими."
16,Що означає гендер?,"Це соціально закріплені ролі, поведінка, діяльність і характерні ознаки, які певне суспільство вважає належними для жінок та чоловіків.
Розуміння гендеру як багатовимірного і змінного поняття є основним критерієм для забезпечення рівності, недискримінації та інклюзивного підходу в усіх сферах суспільного життя.",gender_definition,соціологія;гендерні студії;права людини,"Ґендер визначає, що саме очікується, допускається і цінується у жінок та чоловіків у певному соціальному та культурному контексті. У більшості суспільств існують відмінності та нерівності між жінками та чоловіками у покладених на них обовʼязках, здійснюваній ними діяльності, доступі до ресурсів та контролі над ними, а також у можливостях прийняття рішень. Ґендер є частиною ширшого соціокультурного контексту. Інші важливі критерії соціокультурного аналізу включають клас, расу, рівень бідності, етнічну групу та вік."
17,Що мається на увазі під гендером?,"Гендер - це соціальні характеристики та можливості, пов’язані з буттям жінкою або чоловіком, зі стосунками між жінками та чоловіками, дівчатами та хлопцями, а також із відносинами поміж жінками та відносинами поміж чоловіками.",gender_definition,соціологія;гендерні студії;права людини,"Це соціально закріплені ролі, поведінка, діяльність і характерні ознаки, які певне суспільство вважає належними для жінок та чоловіків.
Розуміння гендеру як багатовимірного і змінного поняття є основним критерієм для забезпечення рівності, недискримінації та інклюзивного підходу в усіх сферах суспільного життя."
18,Що таке гендерна асиметрія мови?,"Це нерівномірність, непропорційність відображення в мові особливостей жінок і чоловіків. Гендерна асиметрія мови виявляється насамперед в асиметрії визначення чоловічого та жіночого роду. Більшість слів, які позначають жінку і чоловіка водночас (родові іменники і займенники), вживають у чоловічому роді, що робить жінок “непомітними”, оскільки викликають в уяві переважно чоловічі образи",gender_asymmetry_definition,лінгвістика;культурні стандарти;гендерні студії,
19,Що означає гендерна асиметрія мови?,"Це нерівномірність, непропорційність відображення в мові особливостей жінок і чоловіків. Гендерна асиметрія мови виявляється насамперед в асиметрії визначення чоловічого та жіночого роду. Більшість слів, які позначають жінку і чоловіка водночас (родові іменники і займенники), вживають у чоловічому роді, що робить жінок “непомітними”, оскільки викликають в уяві переважно чоловічі образи",gender_asymmetry_definition,лінгвістика;культурні стандарти;гендерні студії,
20,Поясни що таке гендерна асиметрія,"Це нерівномірність, непропорційність відображення в мові особливостей жінок і чоловіків. Гендерна асиметрія мови виявляється насамперед в асиметрії визначення чоловічого та жіночого роду. Більшість слів, які позначають жінку і чоловіка водночас (родові іменники і займенники), вживають у чоловічому роді, що робить жінок “непомітними”, оскільки викликають в уяві переважно чоловічі образи",gender_asymmetry_definition,лінгвістика;культурні стандарти;гендерні студії,
21,Що пояснює гендерна асиметрія мови?,"Вона пояснює нерівномірність, непропорційність відображення в мові особливостей жінок і чоловіків. Гендерна асиметрія мови виявляється насамперед в асиметрії визначення чоловічого та жіночого роду. Більшість слів, які позначають жінку і чоловіка водночас (родові іменники і займенники), вживають у чоловічому роді, що робить жінок “непомітними”, оскільки викликають в уяві переважно чоловічі образи",gender_asymmetry_definition,лінгвістика;культурні стандарти;гендерні студії,
22,Що таке гендерна дискримінація?,"Це будь-яке розрізнення, виключення чи обмеження, здійснене за ознакою статі, що спричиняє погіршення або зведення нанівець можливостей жінок користуватися чи здійснювати права людини та основні свободи в політичній, економічній, соціальній, культурній, громадянській чи будь-якій іншій галузі, незалежно від сімейного статусу жінок та на основі рівності чоловіків і жінок",gender_discrimination_definition,права людини;соціальна політика;ринок праці;дискримінація,"Дискримінація може випливати із закону (de jure) або з практики (de facto). Конвенція про ліквідацію всіх форм дискримінації щодо жінок визначає обидві форми дискримінації та спрямована на їх подолання, незалежно від того, містяться вони в законах, політиках, процедурах чи практиках."
23,Поясни значення гендерної дискрімінації,"Це будь-яке розрізнення, виключення чи обмеження, здійснене за ознакою статі, що спричиняє погіршення або зведення нанівець можливостей жінок користуватися чи здійснювати права людини та основні свободи в політичній, економічній, соціальній, культурній, громадянській чи будь-якій іншій галузі, незалежно від сімейного статусу жінок та на основі рівності чоловіків і жінок",gender_discrimination_definition,права людини;соціальна політика;ринок праці;дискримінація,"Дискримінація може випливати із закону (de jure) або з практики (de facto). Конвенція про ліквідацію всіх форм дискримінації щодо жінок визначає обидві форми дискримінації та спрямована на їх подолання, незалежно від того, містяться вони в законах, політиках, процедурах чи практиках."
24,Що означає гендерна дискрімінація,"Воно означає будь-яке розрізнення, виключення чи обмеження, здійснене за ознакою статі, що має наслідком або метою погіршення або зведення нанівець можливостей жінок користуватися чи здійснювати права людини та основні свободи у політичній, економічній, соціальній, культурній, громадянській чи будь-якій іншій галузі, незалежно від сімейного статусу жінок та на основі рівності чоловіків і жінок.",gender_discrimination_definition,права людини;соціальна політика;ринок праці;дискримінація,"Дискримінація може випливати із закону (de jure) або з практики (de facto). Конвенція про ліквідацію всіх форм дискримінації щодо жінок визначає обидві форми дискримінації та спрямована на їх подолання, незалежно від того, містяться вони в законах, політиках, процедурах чи практиках."
25,Що таке дискримінація?,"Це ситуація, коли особа чи група осіб зазнає обмежень у реалізації прав і свобод через ознаки, які були, є або можуть бути припущеними (стать, 
вік, інвалідність, релігія тощо), крім випадків, коли таке обмеження є правомірним, об’єктивно обґрунтованим і необхідним для досягнення легітимної мети.",discrimination_definition,права людини;соціальна політика;культурні стандарти;дискримінація,"Дискримінація може також проявлятися за іншими ознаками, зокрема за етнічною належністю, мовою, сексуальною орієнтацією, гендерною ідентичністю, соціальним походженням, сімейним або майновим станом, місцем проживання, станом здоров’я, переконаннями чи будь-якою іншою ознакою, що не має об’єктивного і виправданого підґрунтя для різного ставлення."
26,Поясни що означає дискрімінація,"Це ситуація, коли особа чи група осіб зазнає обмежень у реалізації прав і свобод через ознаки, які були, є або можуть бути припущеними (стать, 
вік, інвалідність, релігія тощо), крім випадків, коли таке обмеження є правомірним, об’єктивно обґрунтованим і необхідним для досягнення легітимної мети.",discrimination_definition,права людини;соціальна політика;культурні стандарти;дискримінація,
27,Що означає дискримінація,"Це ситуація, коли особа чи група осіб зазнає обмежень у реалізації прав і свобод через ознаки, які були, є або можуть бути припущеними (стать, 
вік, інвалідність, релігія тощо), крім випадків, коли таке обмеження є правомірним, об’єктивно обґрунтованим і необхідним для досягнення легітимної мети.",discrimination_definition,права людини;соціальна політика;культурні стандарти;дискримінація,
28,Поясни визначення дискримінації,"Це ситуація, коли особа чи група осіб зазнає обмежень у реалізації прав і свобод через ознаки, які були, є або можуть бути припущеними (стать, 
вік, інвалідність, релігія тощо), крім випадків, коли таке обмеження є правомірним, об’єктивно обґрунтованим і необхідним для досягнення легітимної мети.",discrimination_definition,права людини;соціальна політика;культурні стандарти;дискримінація,
